time,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AS,BC,BS,CC,CH,CL,CM,CS,DF,DG,GR,GT,HG,JC,MC,MN,MS,NL,NT,OC,PL,QR,QT,SL,SP,SR,TC,TL,TS,VZ,YN,ZS
2020-05-07,49,1244,97619.9515979295,1308.7866303108099,1681712.40801245,2073.62473632488,29.2743194302382,35433.4528947011,37.1459067070261,47.247628387347206,16,198,225.71744153653302,155.482093054546,292.087256081725,8.32383977313086,7.086436083265849,10.0256622157493,7.80703516081699,8.749352846882429,0.995949051010766,0.739499223383725,1.24912061155805,0.901343289424455,1.08701004682165,MX,Mexico,MX-CHH,-53,-15,-39,-57,-49,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,49,1293,99746.8489182624,1333.71506509304,1719857.43142496,2126.8973203329897,24.9284347822367,38145.0234125147,34.1546813429376,45.444734573979,11,209,234.11283817247397,162.71044495725,302.174837426501,8.39539663594154,7.228351902704491,10.0875813447759,7.85974372582924,8.8025233840213,0.9445171581352291,0.634722318800829,1.3019118508995902,0.814503148669578,1.06284973639739,MX,Mexico,MX-CHH,-54,-12,-40,-57,-47,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,41,1334,101943.614995419,1363.74509159532,1760577.25687235,2196.7660771561104,30.030026502273397,40719.825447383104,41.7792614445544,57.3997428161355,10,219,242.576608361852,170.019963687922,312.415315481279,8.46377018937756,7.3095187306717895,10.2404780547777,7.924738052528549,8.88608851631082,1.13524035336777,0.7495549129975401,1.44582324367359,1.04480390289873,1.2488269172046,MX,Mexico,MX-CHH,-57,-15,-45,-54,-28,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,55,1389,103640.925465498,1374.5696933273998,1790557.66408531,1697.31047007915,10.824601732084,29980.407212967402,19.862081199256497,42.606604291888,10,229,251.09919504831,177.35141337432097,322.78994598689,8.52258668645798,7.33144968639946,10.3746305056113,7.9603922165045,8.9642844998229,0.7283805041009709,0.273140050650262,1.42020736464574,0.482709595879211,0.9348708612858879,MX,Mexico,MX-CHH,-60,-20,-53,-63,-14,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,52,1441,105342.778575395,1408.75955474893,1819008.85865254,1701.8531098976503,34.1898614215347,28451.194567224902,41.8760376650766,52.3989850701034,8,237,259.676806867254,184.707767227191,333.198444026275,8.57761181894397,7.35635385286983,10.408498039384199,8.01599669825089,9.00093560236387,1.08207590724602,0.799926410870444,1.21852262768574,1.03199917256281,1.15859188790575,MX,Mexico,MX-CHH,-54,-21,-43,-59,-48,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,32,1473,107064.71194569301,1437.7025496871202,1848798.08664583,1721.93337029754,28.942994938181897,29789.2279932915,35.5245762010262,45.92241275410979,8,245,268.299807721612,192.083535572246,343.68182042232803,8.62300085435826,7.37576834505512,10.4833763960537,8.0717735605475,9.08968953657323,0.960332572240102,0.7394856974718241,1.21416818961864,0.8719218120616579,1.0377786038532801,MX,Mexico,MX-CHH,-53,-19,-39,-58,-47,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,47,1520,108743.21416728801,1467.5422805846697,1877914.04587074,1678.5022215954598,29.8397308975563,29115.959224911498,35.961799685805104,44.533501348343805,13,258,276.966769992532,199.48111052655602,354.122584250009,8.66696227091996,7.39757495430967,10.4407638276809,8.11533588334464,9.1323743343572,0.9512747563040319,0.7711083433744099,1.1248399218919598,0.884337655643251,1.01986913299107,MX,Mexico,MX-CHH,-54,-16,-40,-58,-47,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,43,1563,110344.33707015301,1486.02149074005,1903950.22472768,1601.12290286485,18.479210155376602,26036.178856934,26.0010784896952,35.8741590054941,12,270,285.671707814232,206.932674059291,364.487394577417,8.704937821699598,7.451563532734691,10.364810327407499,8.1731380298484,9.154473094015339,0.748267371610628,0.48259555186020003,1.09485083750422,0.6320910310020229,0.837650976607285,MX,Mexico,MX-CHH,-53,-15,-36,-59,-47,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,46,1609,112159.681252423,1508.21804633399,1936772.92391946,1815.3441822696698,22.1965555939442,32822.6991917855,29.369908726094103,39.72669292533789,8,278,294.408779357487,214.404232587601,374.87432629847,8.73707154325527,7.47155852830999,10.386931721053,8.23482091668663,9.214305129422119,0.8386199853264978,0.5805184683204521,1.13450981367115,0.7344480028923801,0.949200195220675,MX,Mexico,MX-CHH,-52,-9,-36,-55,-44,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,46,1655,113867.90018722901,1532.84550616189,1967211.63685658,1708.2189348058498,24.627459827897802,30438.7129371129,31.729742276953896,43.5917152656685,4,282,303.173216918558,221.859996133041,385.301385560256,8.764437561070912,7.45576354544016,10.4270592617862,8.28296348148859,9.246243172115589,0.9148220178257661,0.646517116759329,1.14135689630454,0.830537434711065,1.0087755203163,MX,Mexico,MX-CHH,-56,-15,-43,-55,-25,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
